PostingID,drug_cui
21059,C1506770
21064,C1566537
21065,C0216784
21065,C4033447
21066,C3253985
21068,C3179547
21069,C3179547
21070,C3179547
21071,C4310385
21073,C0209738
21073,C3253985
21074,C1723401
21084,C1832027
21085,C1832027
21086,C1832027
21087,C2931926
21088,C3640939
21090,C0085149
21100,C3179547
21103,C0649350
21104,C3657270
2112,C0754659
2113,C0754659
2114,C0754659
2115,C0754659
2116,C0754659
2117,C0754659
2118,C0754659
2119,C0754659
2122,C0070122
2123,C0070122
2124,C0070122
2125,C0070122
2126,C0070122
2127,C0070122
2128,C0070122
2129,C0070122
2130,C0070122
2132,C0070122
2133,C0070122
2134,C0070122
2135,C0070122
2136,C0070122
2137,C0070122
2138,C0070122
2139,C0070122
2158,C0062086
2158,C0062527
2158,C0305062
2159,C0062086
2159,C0062527
2159,C0305062
2160,C0062086
2160,C0062527
2160,C0305062
2225,C0966225
23,C2935023
2414,C2607479
2415,C2607479
2416,C0025598
2416,C2607479
2417,C0085208
2418,C0085208
2421,C0073992
2421,C0117996
2428,C0073992
2428,C0117996
2431,C0530684
2432,C0530684
2433,C0530684
2434,C0530684
2435,C0530684
2436,C0530684
2437,C0530684
2438,C0530684
2439,C0530684
2440,C0530684
2441,C0530684
2442,C0530684
2443,C0530684
2444,C0025598
2444,C0289313
2445,C0025598
2445,C0289313
2446,C0025598
2446,C0289313
2447,C0025598
2447,C0289313
2451,C0075632
2452,C0075632
2453,C0075632
2454,C0075632
2455,C0075632
2456,C0075632
2457,C2935023
2457,C3709474
2458,C3700388
2458,C3709474
2459,C3700388
2459,C3709474
2460,C0070122
2461,C0070122
2462,C2935023
2463,C0663655
2523,C0070122
2524,C0070122
2525,C0070122
2526,C0070122
2527,C0070122
2528,C0070122
2529,C0070122
2530,C0070122
2531,C0070122
2532,C0070122
2533,C0070122
2534,C0070122
2535,C0070122
2536,C0070122
2537,C0070122
2538,C0070122
2539,C0070122
2540,C0070122
2541,C0070122
2542,C0070122
2543,C2935023
2543,C3709474
2544,C2935023
